BP Comparison Log - 2025-10-29 02:09:27
================================================================================

REMADE FILES
--------------------------------------------------------------------------------
[BP REMADE] 0036ea81.tga | original: 164x32 | ceil_p^2: 256x32 | hdc/mc: 328x64
[BP REMADE] 0036fbd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00370bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00371bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00372bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00373bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00374bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 0037502a.tga | original: 228x12 | ceil_p^2: 256x16 | hdc/mc: 456x24
[BP REMADE] 0037513a.tga | original: 228x12 | ceil_p^2: 256x16 | hdc/mc: 456x24
[BP REMADE] 00375bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00376bd0.tga | original: 96x24 | ceil_p^2: 128x32 | hdc/mc: 192x48
[BP REMADE] 00380922.tga | original: 312x196 | ceil_p^2: 512x256 | hdc/mc: 624x392
[BP REMADE] 00384ad1.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 0038e7a7.tga | original: 576x42 | ceil_p^2: 1024x64 | hdc/mc: 1152x84
[BP REMADE] 0038f08e.tga | original: 122x16 | ceil_p^2: 128x16 | hdc/mc: 244x32
[BP REMADE] 0038f2a7.tga | original: 576x42 | ceil_p^2: 1024x64 | hdc/mc: 1152x84
[BP REMADE] 0038f2a7_09a2e59f677ae755c7156ae89bea86a9.tga | original: 576x42 | ceil_p^2: 1024x64 | hdc/mc: 1152x84
[BP REMADE] 0038f2a7_506b55e6b21d5eaec73ca5aa5ffb9a36.tga | original: 576x42 | ceil_p^2: 1024x64 | hdc/mc: 1152x84
[BP REMADE] 0038f2a7_be3ef19531b3a85625ef614280f2874c.tga | original: 576x42 | ceil_p^2: 1024x64 | hdc/mc: 1152x84
[BP REMADE] 003954fa.tga | original: 54x12 | ceil_p^2: 64x16 | hdc/mc: 108x24
[BP REMADE] 003997fd.tga | original: 128x12 | ceil_p^2: 128x16 | hdc/mc: 256x24
[BP REMADE] 003997fd_58fcdefef3f7eda79d7e4a9f65f040ed.tga | original: 296x12 | ceil_p^2: 512x16 | hdc/mc: 592x24
[BP REMADE] 0039af8a.tga | original: 16x12 | ceil_p^2: 16x16 | hdc/mc: 32x24
[BP REMADE] 003a4ad1.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 003a8d29.tga | original: 204x12 | ceil_p^2: 256x16 | hdc/mc: 408x24
[BP REMADE] 003aa501.tga | original: 72x48 | ceil_p^2: 128x64 | hdc/mc: 144x96
[BP REMADE] 003c4ad1.tga | original: 64x24 | ceil_p^2: 64x32 | hdc/mc: 128x48
[BP REMADE] 003c8502.tga | original: 32x18 | ceil_p^2: 32x32 | hdc/mc: 64x36
[BP REMADE] 003d8502.tga | original: 26x20 | ceil_p^2: 32x32 | hdc/mc: 52x40
[BP REMADE] 003e4ad1.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 003e8502.tga | original: 30x18 | ceil_p^2: 32x32 | hdc/mc: 60x36
[BP REMADE] 003e9364.tga | original: 144x12 | ceil_p^2: 256x16 | hdc/mc: 288x24
[BP REMADE] 003f0404.tga | original: 256x256 | ceil_p^2: 256x256 | hdc/mc: 512x512
[BP REMADE] 003f8502.tga | original: 56x16 | ceil_p^2: 64x16 | hdc/mc: 112x32
[BP REMADE] 003fc7c9.tga | original: 200x8 | ceil_p^2: 256x8 | hdc/mc: 400x16
[BP REMADE] 00404ad1.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00408502.tga | original: 18x10 | ceil_p^2: 32x16 | hdc/mc: 36x20
[BP REMADE] 0040cd15.tga | original: 130x24 | ceil_p^2: 256x32 | hdc/mc: 260x48
[BP REMADE] 0040eac3.tga | original: 224x12 | ceil_p^2: 256x16 | hdc/mc: 448x24
[BP REMADE] 00418502.tga | original: 76x12 | ceil_p^2: 128x16 | hdc/mc: 152x24
[BP REMADE] 0041eac3.tga | original: 36x12 | ceil_p^2: 64x16 | hdc/mc: 72x24
[BP REMADE] 00424ad1.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00427069.tga | original: 8x9 | ceil_p^2: 8x16 | hdc/mc: 16x18
[BP REMADE] 00428502.tga | original: 70x8 | ceil_p^2: 128x8 | hdc/mc: 140x16
[BP REMADE] 0042eac3.tga | original: 36x12 | ceil_p^2: 64x16 | hdc/mc: 72x24
[BP REMADE] 0043eac3.tga | original: 272x16 | ceil_p^2: 512x16 | hdc/mc: 544x32
[BP REMADE] 00443f1d.tga | original: 108x12 | ceil_p^2: 128x16 | hdc/mc: 216x24
[BP REMADE] 00445c5a.tga | original: 12x12 | ceil_p^2: 16x16 | hdc/mc: 24x24
[BP REMADE] 00453f1d.tga | original: 90x12 | ceil_p^2: 128x16 | hdc/mc: 180x24
[BP REMADE] 004579c8.tga | original: 180x12 | ceil_p^2: 256x16 | hdc/mc: 360x24
[BP REMADE] 00459114.tga | original: 48x36 | ceil_p^2: 64x64 | hdc/mc: 96x72
[BP REMADE] 004613c2.tga | original: 192x12 | ceil_p^2: 256x16 | hdc/mc: 384x24
[BP REMADE] 00463f1d.tga | original: 224x12 | ceil_p^2: 256x16 | hdc/mc: 448x24
[BP REMADE] 00469114.tga | original: 48x36 | ceil_p^2: 64x64 | hdc/mc: 96x72
[BP REMADE] 004750b0.tga | original: 92x12 | ceil_p^2: 128x16 | hdc/mc: 184x24
[BP REMADE] 004750b0_b04d2410ad3d8dfa5e0f135d4c15d11e.tga | original: 296x12 | ceil_p^2: 512x16 | hdc/mc: 592x24
[BP REMADE] 004767e5.tga | original: 152x12 | ceil_p^2: 256x16 | hdc/mc: 304x24
[BP REMADE] 00479114.tga | original: 48x36 | ceil_p^2: 64x64 | hdc/mc: 96x72
[BP REMADE] 00481d9d.tga | original: 138x12 | ceil_p^2: 256x16 | hdc/mc: 468x24
